EdLevel,YearsCodePro,Country,Gender,ConvertedCompYearly
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",11,United States of America,Woman,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",17,United States of America,Woman,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18,United States of America,Woman,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",22,United States of America,Man,199999
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,United States of America,Man,199940
Some college/university study without earning a degree,15,Brazil,Man,199428
Some college/university study without earning a degree,12,Germany,Man,199424
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,United States of America,Man,199000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",3,United States of America,Man,199000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",11,United States of America,Man,199000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",11,"Iran, Islamic Republic of...",Man,198564
"Other doctoral degree (Ph.D., Ed.D., etc.)",15,Switzerland,Man,198564
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",9,United Kingdom of Great Britain and Northern Ireland,Man,198510
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,Australia,Man,198159
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,United States of America,Man,198000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,198000
Some college/university study without earning a degree,24,United States of America,Man,198000
Some college/university study without earning a degree,31,United States of America,Man,198000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,United States of America,Woman,198000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,Israel,Man,197292
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,Israel,Man,197292
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",11,Israel,Man,197292
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25,Israel,Man,197292
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,Israel,Woman,197292
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,United States of America,Man,197000
"Other doctoral degree (Ph.D., Ed.D., etc.)",11,Bulgaria,Man,196308
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",1,United States of America,Man,196000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,United States of America,Man,196000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,United States of America,Man,196000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,United States of America,Man,196000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",13,United States of America,Man,196000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",38,United States of America,Man,196000
Some college/university study without earning a degree,11,United States of America,Man,196000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,United States of America,Woman,196000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,Canada,Man,195210
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,Canada,Man,195210
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,Canada,Man,195210
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,Canada,Man,195210
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25,Canada,Man,195210
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,Canada,Man,195210
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",30,Canada,Man,195210
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,Canada,Man,195210
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",13,Canada,Man,195210
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",24,Canada,Man,195210
"Other doctoral degree (Ph.D., Ed.D., etc.)",22,Canada,Man,195210
Some college/university study without earning a degree,10,Canada,Man,195210
Some college/university study without earning a degree,14,Canada,Man,195210
Some college/university study without earning a degree,15,Canada,Man,195210
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",9,China,Man,195207
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,United States of America,Man,195000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,195000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,195000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,195000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,195000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,195000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,United States of America,Man,195000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",22,United States of America,Man,195000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",24,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",6,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",11,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",11,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",14,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",16,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",24,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,United States of America,Man,195000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",39,United States of America,Man,195000
"Other doctoral degree (Ph.D., Ed.D., etc.)",31,United States of America,Man,195000
Some college/university study without earning a degree,12,United States of America,Man,195000
Some college/university study without earning a degree,26,United States of America,Man,195000
Some college/university study without earning a degree,29,United States of America,Man,195000
Some college/university study without earning a degree,4,United States of America,Woman,195000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United Kingdom of Great Britain and Northern Ireland,Man,194741
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",24,Australia,Man,194621
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,194500
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,Israel,Man,194303
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",12,Israel,Man,194303
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,India,Man,193458
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",15,India,Man,193458
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",11,United States of America,Man,193200
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,United States of America,Man,193000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25,United States of America,Man,193000
"Other doctoral degree (Ph.D., Ed.D., etc.)",8,United States of America,Man,193000
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25,United States of America,Man,193000
